key	domain	es_mx	pt_br
sesgo.overconfidence.trapQuestion	sesgo	En comparación con el promedio de tu grupo, ¿cómo calificarías tu capacidad para tomar decisiones financieras? A) Por encima del promedio. B) Promedio o por debajo. — En grupos educados, el 70-80% elige A, aunque estadísticamente es imposible.	Em comparação com a média do seu grupo, como você avaliaria sua capacidade de tomar decisões financeiras? A) Acima da média. B) Média ou abaixo. — Em grupos instruídos, 70 a 80% escolhe A, embora estatisticamente seja impossível.
sesgo.overconfidence.example.0.label	sesgo	Inversión	Investimento
sesgo.overconfidence.example.0.text	sesgo	Un estudio de Duke encontró que los CFOs de empresas dan rangos de confianza del 80% para el S&P500 que fallan el 67% de las veces. Prefieren parecer precisos aunque estén equivocados.	Um estudo da Duke descobriu que os CFOs de empresas fornecem intervalos de confiança de 80% para o S&P500 que falham 67% das vezes. Preferem parecer precisos mesmo quando estão errados.
sesgo.overconfidence.example.1.label	sesgo	Trading	Trading
sesgo.overconfidence.example.1.text	sesgo	Los inversores individuales que operan más activamente obtienen menores rendimientos que los pasivos — la actividad excesiva es señal de exceso de confianza.	Os investidores individuais que operam mais ativamente obtêm rendimentos menores do que os passivos — a atividade excessiva é sinal de excesso de confiança.
sesgo.overconfidence.example.2.label	sesgo	Personal	Pessoal
sesgo.overconfidence.example.2.text	sesgo	El 80% de las personas cree que sus habilidades para manejar están por encima del promedio. El 93% de estudiantes universitarios cree estar en el 50% superior de su clase.	80% das pessoas acreditam que suas habilidades de direção estão acima da média. 93% dos estudantes universitários acredita estar na metade superior de sua turma.
sesgo.overconfidence.antidote.0	sesgo	Lleva un diario de decisiones: registra tus predicciones y mide tu precisión real versus percibida.	Mantenha um diário de decisões: registre suas previsões e meça sua precisão real versus percebida.
sesgo.overconfidence.antidote.1	sesgo	Practica rangos de incertidumbre amplios: si el 90% de tus estimaciones están en el rango, el rango es correcto.	Pratique intervalos de incerteza amplos: se 90% das suas estimativas estão dentro do intervalo, o intervalo está correto.
sesgo.overconfidence.antidote.2	sesgo	El test del "Outside View": ¿cuál es la tasa base de éxito para situaciones similares a la tuya?	O teste da "Outside View": qual é a taxa base de sucesso para situações semelhantes à sua?
sesgo.overconfidence.antidote.3	sesgo	Busca activamente quién sabe más que tú sobre este tema — no como señal de debilidad, sino de inteligencia.	Busque ativamente quem sabe mais do que você sobre esse tema — não como sinal de fraqueza, mas de inteligência.
sesgo.overconfidence.question.0.situation	sesgo	Comparado con tu grupo, ¿cómo calificarías tu capacidad para tomar decisiones financieras racionales?	Comparado ao seu grupo, como você avaliaria sua capacidade de tomar decisões financeiras racionais?
sesgo.overconfidence.question.0.option.0.text	sesgo	Por encima del promedio (top 50%)	Acima da média (top 50%)
sesgo.overconfidence.question.0.option.0.reveal	sesgo	Sesgo: estadísticamente, la mitad del grupo está por debajo. Si casi todos eligen esto, algo no cuadra	Viés: estatisticamente, metade do grupo está abaixo. Se quase todos escolhem isso, algo não fecha
sesgo.overconfidence.question.0.option.1.text	sesgo	Promedio o por debajo del promedio	Média ou abaixo da média
sesgo.overconfidence.question.0.option.1.reveal	sesgo	Racional: la humildad epistémica — saber lo que no sabes — es la base de buenas decisiones	Racional: a humildade epistêmica — saber o que você não sabe — é a base de boas decisões
sesgo.overconfidence.question.1.situation	sesgo	Llevas 3 años invirtiendo con buenos rendimientos. ¿A qué lo atribuyes?	Você investe há 3 anos com bons rendimentos. A que você atribui isso?
sesgo.overconfidence.question.1.option.0.text	sesgo	Mi estrategia y análisis — tomé las decisiones correctas	Minha estratégia e análise — tomei as decisões certas
sesgo.overconfidence.question.1.option.0.reveal	sesgo	Posible sesgo de autoatribución: los mercados alcistas hacen que todos parezcan genios	Possível viés de autoatribuição: mercados em alta fazem todos parecerem gênios
sesgo.overconfidence.question.1.option.1.text	sesgo	Una mezcla de proceso sólido y condiciones favorables de mercado	Uma combinação de processo sólido e condições favoráveis de mercado
sesgo.overconfidence.question.1.option.1.reveal	sesgo	Racional: separar habilidad de suerte requiere un horizonte largo y análisis honesto	Racional: separar habilidade de sorte exige um horizonte longo e uma análise honesta
sesgo.overconfidence.question.2.situation	sesgo	El S&P500 está en 5,000. Tu estimación a 12 meses con 90% de confianza sería:	O S&P500 está em 5.000. Sua estimativa para 12 meses com 90% de confiança seria:
sesgo.overconfidence.question.2.option.0.text	sesgo	4,800 – 5,300 (rango preciso)	4.800 – 5.300 (intervalo preciso)
sesgo.overconfidence.question.2.option.0.reveal	sesgo	Sesgo: los rangos estrechos fallan más del 60% de las veces en estudios de expertos	Viés: intervalos estreitos falham em mais de 60% das vezes em estudos com especialistas
sesgo.overconfidence.question.2.option.1.text	sesgo	3,500 – 6,500 (rango amplio)	3.500 – 6.500 (intervalo amplo)
sesgo.overconfidence.question.2.option.1.reveal	sesgo	Racional: un 90% de confianza real requiere un rango mucho más amplio en sistemas complejos	Racional: 90% de confiança real exige um intervalo muito mais amplo em sistemas complexos
sesgo.overconfidence.fixation.0.question	sesgo	¿Cuál es la diferencia entre exceso de confianza e ilusión de conocimiento?	Qual é a diferença entre excesso de confiança e ilusão de conhecimento?
sesgo.overconfidence.fixation.0.option.0	sesgo	La ilusión de conocimiento es creer que más información nos hace más precisos, aunque esa información sea irrelevante	A ilusão de conhecimento é acreditar que mais informação nos torna mais precisos, mesmo que essa informação seja irrelevante
sesgo.overconfidence.fixation.0.option.1	sesgo	Son exactamente lo mismo: ambos describen sobreestimar las propias habilidades	São exatamente a mesma coisa: ambos descrevem superestimar as próprias habilidades
sesgo.overconfidence.fixation.0.option.2	sesgo	El exceso de confianza solo aplica a expertos; la ilusión de conocimiento a novatos	O excesso de confiança se aplica apenas a especialistas; a ilusão de conhecimento, a iniciantes
sesgo.overconfidence.fixation.1.question	sesgo	Un trader revisa 20 indicadores antes de cada operación creyendo que por eso sus predicciones son más precisas. ¿Qué sesgo ilustra esto?	Um trader analisa 20 indicadores antes de cada operação, acreditando que por isso suas previsões são mais precisas. Que viés isso ilustra?
sesgo.overconfidence.fixation.1.option.0	sesgo	Ilusión de conocimiento: más datos no garantizan mejores predicciones si no añaden información real	Ilusão de conhecimento: mais dados não garantem melhores previsões se não acrescentam informação real
sesgo.overconfidence.fixation.1.option.1	sesgo	Sesgo de confirmación: busca indicadores que confirmen su decisión previa	Viés de confirmação: busca indicadores que confirmem sua decisão prévia
sesgo.overconfidence.fixation.1.option.2	sesgo	Efecto halo: los indicadores sofisticados le dan una imagen de experto	Efeito halo: os indicadores sofisticados lhe dão uma imagem de especialista
sesgo.overconfidence.fixation.2.question	sesgo	¿Qué es el sesgo de autoatribución y cómo se relaciona con el exceso de confianza?	O que é o viés de autoatribuição e como ele se relaciona com o excesso de confiança?
sesgo.overconfidence.fixation.2.option.0	sesgo	Atribuir los éxitos a la propia habilidad y los fracasos a factores externos, reforzando la confianza sin fundamento real	Atribuir os sucessos à própria habilidade e os fracassos a fatores externos, reforçando a confiança sem fundamento real
sesgo.overconfidence.fixation.2.option.1	sesgo	Creer que nuestras habilidades son superiores a las del promedio en todas las áreas	Acreditar que nossas habilidades são superiores às da média em todas as áreas
sesgo.overconfidence.fixation.2.option.2	sesgo	Confiar demasiado en las recomendaciones de otros sin analizarlas	Confiar demais nas recomendações de outros sem analisá-las
sesgo.self-attribution.name	sesgo	Auto-Atribución	Autoatribuição
sesgo.self-attribution.definition	sesgo	Atribuimos nuestros éxitos a nuestra habilidad y nuestros fracasos a factores externos.	Atribuímos nossos sucessos à nossa habilidade e nossos fracassos a fatores externos.
sesgo.self-attribution.description	sesgo	El Sesgo de Auto-Atribución es el "combustible" del Exceso de Confianza. Juntos forman un ciclo peligroso: gano → fue mi habilidad → aprendo que soy bueno → pierdo → fue mala suerte → no aprendo nada. Este ciclo destruye nuestra capacidad de calibrar el riesgo real.	A Autoatribuição é o "combustível" do Excesso de Confiança. Juntos formam um ciclo perigoso: ganho → foi minha habilidade → aprendo que sou bom → perco → foi má sorte → não aprendo nada. Esse ciclo destrói nossa capacidade de calibrar o risco real.
sesgo.self-attribution.mechanism	sesgo	El mecanismo es defensivo: el ego necesita proteger una autoimagen positiva. Atribuirse el mérito de los éxitos alimenta la autoestima; culpar al entorno de los fracasos protege de la autocrítica. El resultado es que nunca aprendemos de nuestros errores de manera sistemática.	O mecanismo é defensivo: o ego precisa proteger uma autoimagem positiva. Atribuir a si mesmo o mérito dos sucessos alimenta a autoestima; culpar o ambiente pelos fracassos protege da autocrítica. O resultado é que nunca aprendemos com nossos erros de forma sistemática.
sesgo.self-attribution.trapQuestion	sesgo	Tu cartera subió +25% este año. ¿Cuál fue el factor principal? A) Mi estrategia y selección (habilidad). B) Estuve en el sector correcto en el momento justo (suerte). — La mayoría elige A. ¿Y si la cartera hubiera bajado -25%?	Sua carteira subiu +25% este ano. Qual foi o fator principal? A) Minha estratégia e seleção (habilidade). B) Estive no setor certo no momento certo (sorte). — A maioria escolhe A. E se a carteira tivesse caído -25%?
sesgo.self-attribution.example.0.label	sesgo	Inversión	Investimento
sesgo.self-attribution.example.0.text	sesgo	Tu cartera subió 40% en 2021. Fue tu análisis brillante. En 2022 cayó 30%. Fue la Fed, el mercado, la guerra en Ucrania. El doble rasero impide aprendizaje real.	Sua carteira subiu 40% em 2021. Foi sua análise brilhante. Em 2022 caiu 30%. Foi o Fed, o mercado, a guerra na Ucrânia. O duplo padrão impede o aprendizado real.
sesgo.self-attribution.example.1.label	sesgo	Empresa	Empresa
sesgo.self-attribution.example.1.text	sesgo	Un CEO reporta ganancias récord: "nuestra estrategia brillante." Reporta pérdidas: "condiciones macroeconómicas adversas sin precedentes."	Um CEO reporta ganhos recordes: "nossa estratégia brilhante." Reporta prejuízos: "condições macroeconômicas adversas sem precedentes."
sesgo.self-attribution.example.2.label	sesgo	Personal	Pessoal
sesgo.self-attribution.example.2.text	sesgo	Pasaste un examen: estudiaste bien. Reprobaste: el profesor fue injusto o las preguntas eran ambiguas.	Você passou em uma prova: estudou bem. Reprovou: o professor foi injusto ou as questões eram ambíguas.
sesgo.self-attribution.antidote.0	sesgo	Diario de decisiones: registra ANTES de invertir tu razonamiento. Al revisar, evalúa el proceso, no solo el resultado.	Diário de decisões: registre ANTES de investir o seu raciocínio. Ao revisar, avalie o processo, não apenas o resultado.
sesgo.self-attribution.antidote.1	sesgo	Separar proceso de resultado: ¿fue una buena decisión dado lo que sabías entonces, independientemente del resultado?	Separar processo de resultado: foi uma boa decisão dado o que você sabia naquele momento, independentemente do resultado?
sesgo.self-attribution.antidote.2	sesgo	Post-mortem honesto: cuando una inversión sale mal, identifica exactamente qué error cometiste, no qué factor externo falló.	Pós-mortem honesto: quando um investimento der errado, identifique exatamente qual erro você cometeu — não qual fator externo falhou.
sesgo.self-attribution.antidote.3	sesgo	Comparte tus análisis con alguien crítico antes de actuar — la exposición reduce el autoengaño.	Compartilhe suas análises com alguém crítico antes de agir — a exposição reduz a autoilusão.
sesgo.self-attribution.question.0.situation	sesgo	Tu inversión principal subió 35% este año. ¿A qué lo atribuyes principalmente?	Seu principal investimento subiu 35% este ano. A que você atribui principalmente?
sesgo.self-attribution.question.0.option.0.text	sesgo	Mi análisis y timing — identifiqué bien la oportunidad	Minha análise e timing — identifiquei bem a oportunidade
sesgo.self-attribution.question.0.option.0.reveal	sesgo	Sesgo de autoatribución (Self-Enhancement): podría ser habilidad, pero ¿verificaste que no fue suerte de mercado?	Viés de autoatribuição (Self-Enhancement): pode ter sido habilidade, mas você verificou que não foi sorte de mercado?
sesgo.self-attribution.question.0.option.1.text	sesgo	Una combinación de análisis razonable y condiciones favorables	Uma combinação de análise razoável e condições favoráveis
sesgo.self-attribution.question.0.option.1.reveal	sesgo	Racional: distinguir habilidad de suerte requiere múltiples ciclos de mercado, no un año	Racional: distinguir habilidade de sorte exige múltiplos ciclos de mercado, não apenas um ano
sesgo.self-attribution.question.1.situation	sesgo	Tu inversión principal cayó 25% inesperadamente. ¿Cómo lo describes en tu análisis?	Seu principal investimento caiu 25% de forma inesperada. Como você descreve isso na sua análise?
sesgo.self-attribution.question.1.option.0.text	sesgo	Riesgo sistémico / evento impredecible — fue externo a mi análisis	Risco sistêmico / evento imprevisível — foi externo à minha análise
sesgo.self-attribution.question.1.option.0.reveal	sesgo	Sesgo de autoprotección: ¿era realmente impredecible o ignoraste señales que no querías ver?	Viés de autoproteção: era realmente imprevisível ou você ignorou sinais que não queria ver?
sesgo.self-attribution.question.1.option.1.text	sesgo	Error de análisis — necesito identificar qué no vi correctamente	Erro de análise — preciso identificar o que não enxerguei corretamente
sesgo.self-attribution.question.1.option.1.reveal	sesgo	Racional: incluso si el shock fue externo, ¿el sizing del riesgo era correcto?	Racional: mesmo que o choque tenha sido externo, o dimensionamento do risco estava correto?
sesgo.self-attribution.question.2.situation	sesgo	Un colega duplicó su inversión en criptomonedas este año. ¿Qué piensas?	Um colega dobrou seu investimento em criptomoedas este ano. O que você pensa?
sesgo.self-attribution.question.2.option.0.text	sesgo	Es un inversor hábil que supo identificar la oportunidad	É um investidor habilidoso que soube identificar a oportunidade
sesgo.self-attribution.question.2.option.0.reveal	sesgo	Doble estándar: si fuera tu pérdida, ¿también sería habilidad? Aplicamos raseros distintos a éxitos ajenos y propios	Duplo padrão: se fosse sua perda, também seria habilidade? Aplicamos critérios diferentes para os sucessos alheios e os próprios
sesgo.self-attribution.question.2.option.1.text	sesgo	Asumió riesgos altos y las condiciones lo favorecieron	Assumiu riscos altos e as condições o favoreceram
sesgo.self-attribution.question.2.option.1.reveal	sesgo	Racional: consistencia en el rasero — aplica el mismo estándar a ti y a los demás	Racional: consistência no critério — aplique o mesmo padrão a você e aos outros
sesgo.self-attribution.fixation.0.question	sesgo	¿Qué es la aversión a la pérdida según Kahneman y Tversky?	O que é a aversão à perda segundo Kahneman e Tversky?
sesgo.self-attribution.fixation.0.option.0	sesgo	Perder $100 duele aproximadamente el doble que el placer de ganar $100	Perder R$ 100 dói aproximadamente o dobro do prazer de ganhar R$ 100
sesgo.self-attribution.fixation.0.option.1	sesgo	Preferir siempre las inversiones más seguras independientemente del retorno	Preferir sempre os investimentos mais seguros independentemente do retorno
sesgo.self-attribution.fixation.0.option.2	sesgo	Evitar cualquier decisión que pueda resultar en pérdida	Evitar qualquer decisão que possa resultar em perda
sesgo.self-attribution.fixation.1.question	sesgo	Un inversor mantiene una acción que bajó 40% esperando recuperarse pero vende rápido las que suben. ¿Cómo se llama este patrón?	Um investidor mantém uma ação que caiu 40% esperando se recuperar, mas vende rapidamente as que sobem. Como se chama esse padrão?
sesgo.self-attribution.fixation.1.option.0	sesgo	Efecto disposición: vender ganadoras pronto y mantener perdedoras demasiado tiempo	Efeito disposição: vender as vencedoras cedo e manter as perdedoras por tempo demais
sesgo.self-attribution.fixation.1.option.1	sesgo	Sesgo de confirmación: busca información que justifique mantener la acción	Viés de confirmação: busca informações que justifiquem manter a ação
sesgo.self-attribution.fixation.1.option.2	sesgo	Exceso de confianza: cree que puede predecir cuándo se recuperará	Excesso de confiança: acredita que pode prever quando vai se recuperar
sesgo.self-attribution.fixation.2.question	sesgo	¿Qué es la aversión miope a la pérdida?	O que é a aversão míope à perda?
sesgo.self-attribution.fixation.2.option.0	sesgo	Revisar el portafolio con tanta frecuencia que las pérdidas a corto plazo dominan las decisiones de largo plazo	Revisar o portfólio com tanta frequência que as perdas de curto prazo dominam as decisões de longo prazo
sesgo.self-attribution.fixation.2.option.1	sesgo	Negarse a invertir en activos que alguna vez tuvieron pérdidas históricas	Recusar-se a investir em ativos que já tiveram perdas históricas
sesgo.self-attribution.fixation.2.option.2	sesgo	Preferir instrumentos de renta fija por encima de cualquier otro activo	Preferir instrumentos de renda fixa acima de qualquer outro ativo
sesgo.status-quo.name	sesgo	Sesgo de Status Quo	Viés de Status Quo
sesgo.status-quo.definition	sesgo	Preferimos mantener las cosas como están, incluso cuando cambiar sería objetivamente mejor.	Preferimos manter as coisas como estão, mesmo quando mudar seria objetivamente melhor.
sesgo.status-quo.description	sesgo	Descrito por Samuelson y Zeckhauser (1988), este sesgo surge del confort de lo conocido y del miedo al arrepentimiento. La inercia psicológica es poderosa: moverse del estado actual implica el riesgo de equivocarse activamente, mientras que quedarse quieto se percibe como "no hacer nada malo".	Descrito por Samuelson e Zeckhauser (1988), esse viés surge do conforto do familiar e do medo do arrependimento. A inércia psicológica é poderosa: sair do estado atual implica o risco de errar ativamente, enquanto ficar parado se percebe como "não fazer nada de errado".
sesgo.status-quo.mechanism	sesgo	El Sistema 1 evalúa opciones en relación a un punto de referencia neutral — el Status Quo. Dado que las pérdidas pesan el doble que las ganancias (Aversión a la Pérdida), cualquier cambio se percibe como potencialmente desventajoso. La pereza del Sistema 2 completa el cuadro.	O Sistema 1 avalia opções em relação a um ponto de referência neutro — o Status Quo. Como as perdas pesam o dobro dos ganhos (Aversão à Perda), qualquer mudança é percebida como potencialmente desvantajosa. A preguiça do Sistema 2 completa o quadro.
sesgo.status-quo.trapQuestion	sesgo	Te ofrecen cambiar tu portafolio actual por uno con mejores expectativas de rendimiento, pero requiere tomar acción activa. ¿Lo haces? — La mayoría dice que sí en frío. En la práctica, la inercia gana.	Oferecem a você trocar sua carteira atual por uma com melhores expectativas de retorno, mas isso exige uma ação ativa. Você faz? — A maioria diz que sim em tese. Na prática, a inércia vence.
sesgo.status-quo.example.0.label	sesgo	Pensiones	Previdência
sesgo.status-quo.example.0.text	sesgo	Cuando el plan de pensiones de una empresa cambia de opt-in a opt-out, la participación sube del 40% al 90%. El default lo es todo.	Quando o plano de previdência de uma empresa muda de opt-in para opt-out, a participação sobe de 40% para 90%. O padrão é tudo.
sesgo.status-quo.example.1.label	sesgo	Inversión	Investimento
sesgo.status-quo.example.1.text	sesgo	Un inversor hereda una cartera de bonos de su padre. Aunque las acciones tendrían mejor rendimiento esperado, mantiene los bonos porque "son lo que había".	Um investidor herda uma carteira de títulos do pai. Embora ações tivessem melhor retorno esperado, ele mantém os títulos porque "era o que havia".
sesgo.status-quo.example.2.label	sesgo	Empresa	Empresa
sesgo.status-quo.example.2.text	sesgo	Una empresa sigue usando el mismo proveedor de software durante 10 años, aunque hay opciones mejores y más baratas, simplemente porque "siempre ha sido así".	Uma empresa continua usando o mesmo fornecedor de software por 10 anos, mesmo havendo opções melhores e mais baratas, simplesmente porque "sempre foi assim".
sesgo.status-quo.antidote.0	sesgo	Re-enmarca la decisión: "¿Elegiría este portafolio si empezara de cero hoy?"	Reencadre a decisão: "Eu escolheria este portfólio se estivesse começando do zero hoje?"
sesgo.status-quo.antidote.1	sesgo	Establece revisiones periódicas obligatorias — la inercia gana si no hay un trigger externo.	Estabeleça revisões periódicas obrigatórias — a inércia vence se não houver um gatilho externo.
sesgo.status-quo.antidote.2	sesgo	Separa el apego emocional del análisis financiero: herencia, tradición y hábito no son argumentos financieros.	Separe o apego emocional da análise financeira: herança, tradição e hábito não são argumentos financeiros.
sesgo.status-quo.antidote.3	sesgo	El test de la acción inversa: ¿si hoy tuvieras lo que quieres cambiar, cambiarías a lo que tienes ahora?	O teste da ação inversa: se hoje você tivesse o que quer mudar, mudaria para o que tem agora?
sesgo.status-quo.question.0.situation	sesgo	Llevas 5 años con el mismo fondo de inversión. Aparece uno nuevo con mejor historial ajustado al riesgo. ¿Qué haces?	Você está há 5 anos com o mesmo fundo de investimento. Surge um novo com melhor histórico ajustado ao risco. O que você faz?
sesgo.status-quo.question.0.option.0.text	sesgo	Me quedo con el mío — ya lo conozco y cambiar da pereza	Fico com o meu — já conheço e mudar dá preguiça
sesgo.status-quo.question.0.option.0.reveal	sesgo	Sesgo de status quo: la inercia y el confort de lo conocido impiden la decisión óptima	Viés de status quo: a inércia e o conforto do familiar impedem a decisão ótima
sesgo.status-quo.question.0.option.1.text	sesgo	Evalúo los dos con los mismos criterios y elijo el mejor sin importar cuál tenía antes	Avalio os dois com os mesmos critérios e escolho o melhor, não importa qual eu tinha antes
sesgo.status-quo.question.0.option.1.reveal	sesgo	Racional: la decisión se hace con los datos actuales, no con el peso de lo que ya tienes	Racional: a decisão se toma com os dados atuais, não com o peso do que você já tem
sesgo.status-quo.question.1.situation	sesgo	Heredaste un portafolio de bonos conservadores de tu abuelo. Las acciones tendrían mejor rendimiento esperado para tu horizonte de 30 años. ¿Qué haces?	Você herdou uma carteira de títulos conservadores do seu avô. Ações teriam melhor retorno esperado para seu horizonte de 30 anos. O que você faz?
sesgo.status-quo.question.1.option.0.text	sesgo	Lo mantengo tal cual — fue su elección y cambiar se siente mal	Mantenho como está — foi a escolha dele e mudar parece errado
sesgo.status-quo.question.1.option.0.reveal	sesgo	Sesgo de status quo + efecto dotación: el apego al origen del portafolio paraliza la optimización	Viés de status quo + efeito dotação: o apego à origem da carteira paralisa a otimização
sesgo.status-quo.question.1.option.1.text	sesgo	Evalúo si este portafolio es el adecuado para MI horizonte y perfil, independiente de su historia	Avalio se essa carteira é adequada para MEU horizonte e perfil, independentemente de sua história
sesgo.status-quo.question.1.option.1.reveal	sesgo	Racional: el origen del portafolio no determina su idoneidad para tu situación actual	Racional: a origem da carteira não determina sua adequação para a sua situação atual
sesgo.status-quo.question.2.situation	sesgo	Tu banco te cobra $1,200/año en comisiones. Otro banco ofrece las mismas condiciones sin comisión. ¿Qué haces?	Seu banco cobra R$ 350/ano em tarifas. Outro banco oferece as mesmas condições sem tarifa. O que você faz?
sesgo.status-quo.question.2.option.0.text	sesgo	Me quedo — cambiar de banco es un proceso tedioso	Fico — mudar de banco é um processo tedioso
sesgo.status-quo.question.2.option.0.reveal	sesgo	Sesgo de status quo: la fricción del cambio se percibe mayor que el beneficio real de $1,200 anuales	Viés de status quo: a fricção da mudança é percebida como maior do que o benefício real de R$ 350 anuais
sesgo.status-quo.question.2.option.1.text	sesgo	Hago el cambio — $1,200 anuales son suficientes para dedicar 2 horas al proceso	Faço a mudança — R$ 350 anuais são suficientes para dedicar 2 horas ao processo
sesgo.status-quo.question.2.option.1.reveal	sesgo	Racional: el costo del cambio (tiempo) se compara explícitamente con el beneficio (ahorro real)	Racional: o custo da mudança (tempo) é comparado explicitamente com o benefício (economia real)
sesgo.status-quo.fixation.0.question	sesgo	¿Cuál es el mecanismo principal detrás del sesgo de status quo?	Qual é o mecanismo principal por trás do viés de status quo?
sesgo.status-quo.fixation.0.option.0	sesgo	La aversión a la pérdida hace que cualquier cambio parezca más costoso que los beneficios potenciales	A aversão à perda faz com que qualquer mudança pareça mais custosa do que os benefícios potenciais
sesgo.status-quo.fixation.0.option.1	sesgo	La falta de información sobre alternativas hace que mantener lo actual parezca más seguro	A falta de informação sobre alternativas faz com que manter o atual pareça mais seguro
sesgo.status-quo.fixation.0.option.2	sesgo	El miedo a equivocarse hace que las personas eviten cualquier decisión activa	O medo de errar faz com que as pessoas evitem qualquer decisão ativa
sesgo.status-quo.fixation.1.question	sesgo	Un experimento cambió el plan de pensiones de opt-in a opt-out. ¿Qué pasó con la participación?	Um experimento mudou o plano de previdência de opt-in para opt-out. O que aconteceu com a participação?
sesgo.status-quo.fixation.1.option.0	sesgo	Subió drásticamente — el default determina más el comportamiento que la preferencia real	Subiu drasticamente — o padrão determina o comportamento mais do que a preferência real
sesgo.status-quo.fixation.1.option.1	sesgo	Bajó — las personas rechazaron la inscripción automática por autonomía	Caiu — as pessoas rejeitaram a inscrição automática por questão de autonomia
sesgo.status-quo.fixation.1.option.2	sesgo	No cambió significativamente — las personas tomaron la misma decisión independiente del default	Não mudou significativamente — as pessoas tomaram a mesma decisão independentemente do padrão
sesgo.status-quo.fixation.2.question	sesgo	¿Cuál es la diferencia entre prudencia y sesgo de status quo?	Qual é a diferença entre prudência e viés de status quo?
sesgo.status-quo.fixation.2.option.0	sesgo	La prudencia se basa en análisis deliberado; el status quo se basa en inercia e incomodidad con el cambio	A prudência se baseia em análise deliberada; o status quo se baseia em inércia e desconforto com a mudança
sesgo.status-quo.fixation.2.option.1	sesgo	La prudencia es un sesgo emocional; el status quo es una estrategia racional de bajo riesgo	A prudência é um viés emocional; o status quo é uma estratégia racional de baixo risco
sesgo.status-quo.fixation.2.option.2	sesgo	No hay diferencia real: ambos llevan a mantener la situación actual	Não há diferença real: ambos levam a manter a situação atual
sesgo.autocontrol.name	sesgo	Sesgo de Autocontrol	Viés de Autocontrole
sesgo.autocontrol.definition	sesgo	No actuamos en pro de nuestros objetivos a largo plazo por falta de autodisciplina y preferencia por la gratificación inmediata.	Não agimos em prol dos nossos objetivos de longo prazo por falta de autodisciplina e preferência pela gratificação imediata.
sesgo.autocontrol.description	sesgo	El Sesgo de Autocontrol (CFA) y el Descuento Hiperbólico (Thaler) describen el mismo fenómeno: somos incapaces de ejecutar hoy lo que en teoría queremos para el futuro. No es un problema de conocimiento — sabemos que debemos ahorrar. Es un problema de voluntad bajo presión.	O Viés de Autocontrole (CFA) e o Desconto Hiperbólico (Thaler) descrevem o mesmo fenômeno: somos incapazes de executar hoje o que em teoria queremos para o futuro. Não é um problema de conhecimento — sabemos que devemos poupar. É um problema de força de vontade sob pressão.
sesgo.autocontrol.mechanism	sesgo	Dan Ariely distingue el "yo en estado frío" (racional, planificador) del "yo en estado caliente" (impulsivo, bajo presión). En estado frío, elegimos virtuosamente. En estado caliente, el Sistema 1 toma el control. La "brecha de empatía" nos impide predecir cuánto diferirá nuestro yo caliente del yo frío.	Dan Ariely distingue o "eu em estado frio" (racional, planejador) do "eu em estado quente" (impulsivo, sob pressão). Em estado frio, fazemos escolhas virtuosas. Em estado quente, o Sistema 1 assume o controle. A "lacuna de empatia" nos impede de prever o quanto nosso eu quente vai diferir do eu frio.
sesgo.autocontrol.trapQuestion	sesgo	¿Cuánto planeas ahorrar el próximo mes? Ahora: ¿cuánto ahorraste este mes? La diferencia entre estos dos números es tu "brecha de autocontrol".	Quanto você planeja poupar no próximo mês? Agora: quanto você poupou este mês? A diferença entre esses dois números é sua "lacuna de autocontrole".
sesgo.autocontrol.example.0.label	sesgo	Ahorro	Poupança
sesgo.autocontrol.example.0.text	sesgo	Sabes que debes ahorrar el 20% de tu sueldo. Cada mes "este mes es la excepción" por alguna razón. Nunca ahorramos tanto como planeamos en frío.	Você sabe que deve poupar 20% do seu salário. Todo mês "este mês é a exceção" por algum motivo. Nunca poupamos tanto quanto planejamos a frio.
sesgo.autocontrol.example.1.label	sesgo	Inversión	Investimento
sesgo.autocontrol.example.1.text	sesgo	Planeas no revisar tu portafolio más de una vez al mes. Pero cuando el mercado cae, entras a la app cada hora y terminas vendiendo en el peor momento.	Você planeja não verificar seu portfólio mais de uma vez por mês. Mas quando o mercado cai, você abre o app a cada hora e acaba vendendo no pior momento.
sesgo.autocontrol.example.2.label	sesgo	Gasto	Gasto
sesgo.autocontrol.example.2.text	sesgo	Decides no gastar en ropa este mes. Pero en el mall, ves una oferta "única" y el yo caliente gana.	Você decide não gastar com roupas este mês. Mas no shopping, vê uma oferta "única" e o eu quente vence.
sesgo.autocontrol.antidote.0	sesgo	Automatiza el ahorro: transfiere automáticamente antes de que el dinero llegue a tu cuenta corriente.	Automatize a poupança: transfira automaticamente antes que o dinheiro chegue à sua conta corrente.
sesgo.autocontrol.antidote.1	sesgo	Usa la herramienta de Thaler: "Save More Tomorrow" — compromete hoy un % de tus futuros aumentos de sueldo.	Use a ferramenta de Thaler: "Save More Tomorrow" — comprometa hoje um % dos seus futuros aumentos de salário.
sesgo.autocontrol.antidote.2	sesgo	Elimina la tentación del entorno: borra apps de trading si revisas en exceso; esconde tarjetas de crédito.	Elimine a tentação do ambiente: delete apps de trading se você verifica em excesso; esconda cartões de crédito.
sesgo.autocontrol.antidote.3	sesgo	Contratos de compromiso (commitment devices): penalidades reales si no cumples tus metas.	Contratos de compromisso (commitment devices): penalidades reais se você não cumprir suas metas.
