key	es	pt
ui.report.scatter-item-label	auto {self}% vs observado {observed}%	auto {self}% vs observado {observed}%
ui.report.blind-spots-empty	Ninguno — buena calibración por el lado de la subestimación.	Nenhum — boa calibração pelo lado da subestimação.
ui.report.overestimated-title	Sobreestimados ({count})	Superestimados ({count})
ui.report.overestimated-sub	Crees que te afectan más de lo que realmente aparece	Você acha que te afetam mais do que realmente aparece
ui.report.overestimated-empty	Ninguno.	Nenhum.
ui.report.calibrated-title	Bien calibrado ({count})	Bem calibrado ({count})
ui.report.calibrated-sub	Tu autoevaluación coincide con las respuestas (±15 pp)	Sua autoavaliação coincide com as respostas (±15 pp)
ui.report.calibrated-empty	Aún no tienes sesgos calibrados.	Você ainda não tem vieses calibrados.
ui.report.awareness-score	Score de autoconciencia: <strong>{calibrated}/{total}</strong> sesgos bien calibrados	Score de autoconsciência: <strong>{calibrated}/{total}</strong> vieses bem calibrados
ui.report.aw-list-item-detail	· auto {self}% vs observado {observed}%	· auto {self}% vs observado {observed}%
ui.report.step6-label	Paso 6 · Matriz de decisión	Passo 6 · Matriz de decisão
ui.report.step6-title	Situaciones reales: tu tendencia vs. lo racional	Situações reais: sua tendência vs. o racional
ui.report.step6-intro	Tres escenarios típicos donde tu perfil <strong>{profileLabel}</strong> reacciona de un modo — y cómo se vería la respuesta racional. Úsalo como checklist cuando surja la situación.	Três cenários típicos onde seu perfil <strong>{profileLabel}</strong> reage de um jeito — e como seria a resposta racional. Use como checklist quando a situação aparecer.
ui.report.matrix-tendency-label	Tu tendencia	Sua tendência
ui.report.matrix-rational-label	Respuesta racional	Resposta racional
ui.report.nav-logo	Finanzas Conductuales	Finanças Comportamentais
ui.report.nav-back	← Dashboard	← Dashboard
ui.report.header-logo	Informe Final	Relatório Final
ui.report.header-title	Tu perfil conductual como inversionista	Seu perfil comportamental como investidor
ui.report.time-hint	⏱ 6 pasos · ~{min} min restantes · puedes volver cuando quieras	⏱ 6 passos · ~{min} min restantes · você pode voltar quando quiser
ui.report.feedback-title	¿Qué tan útil te pareció esta información?	Quão útil você achou essa informação?
ui.report.slider-label-min	Nada útil	Nada útil
ui.report.slider-label-max	Muy útil	Muito útil
ui.report.slider-move-hint	Mueve el deslizador para continuar	Mova o controle para continuar
ui.report.nav-prev	← Anterior	← Anterior
ui.report.nav-step-of	Paso {step} de {total}	Passo {step} de {total}
ui.report.nav-next	Siguiente →	Próximo →
ui.report.nav-finish	Volver al Dashboard →	Voltar ao Dashboard →
ui.next.loading	Cargando…	Carregando…
ui.next.nav_back	← Dashboard	← Dashboard
ui.next.nav_logout	Salir	Sair
ui.next.time_badge	⏱ ~3 min · última etapa	⏱ ~3 min · última etapa
ui.next.title	Próximos pasos	Próximos passos
ui.next.intro	Recorriste la jornada completa. Cuéntame qué te gustaría hacer a partir de aquí — marca todo lo que aplique.	Você concluiu a jornada completa. Me conte o que gostaria de fazer a partir daqui — marque tudo o que se aplica.
ui.next.card_interests_title	Lo que me interesa	O que me interessa
ui.next.other_label	Otros · lo que quieras contarme	Outros · o que você quiser me contar
ui.next.other_placeholder	Ideas, sugerencias, temas que te interesan…	Ideias, sugestões, temas que te interessam…
ui.next.btn_update	Actualizar respuestas	Atualizar respostas
ui.next.btn_save	Guardar y ver resultados →	Salvar e ver resultados →
ui.next.card_others_title	Qué eligen los demás participantes	O que os outros participantes escolhem
ui.next.card_others_sub	Respuestas consolidadas — así ves dónde se concentra el interés del grupo.	Respostas consolidadas — veja onde se concentra o interesse do grupo.
ui.next.calendly_title	Un pedido sincero	Um pedido sincero
ui.next.calendly_body1	No hay nada más importante en esta etapa que esos 15 minutos. Necesito escuchar cómo te fue, qué te sirvió, qué te estorbó, qué faltó. Tu experiencia directa es la única manera de saber qué hay que mejorar.	Não há nada mais importante nesta etapa do que esses 15 minutos. Preciso ouvir como foi para você, o que funcionou, o que atrapalhou, o que faltou. Sua experiência direta é a única forma de saber o que precisa melhorar.
ui.next.calendly_body2	Si puedes regalarme ese rato, estaría muy agradecido.	Se você puder me dar esse tempo, ficaria muito agradecido.
ui.next.calendly_cta	Agendar 30 min con Rodrigo →	Agendar 30 min com Rodrigo →
ui.next.calendly_sub	Se abre en una ventana nueva · calendly.com/rodrigo-pandava/30min	Abre em uma nova janela · calendly.com/rodrigo-pandava/30min
ui.next.btn_saving	Guardando…	Salvando…
ui.next.btn_retry	Reintentar	Tentar novamente
ui.bug.fab_title	Reportar un problema	Reportar um problema
ui.bug.fab_label	Clic aquí para reportar un problema	Clique aqui para reportar um problema
ui.bug.modal_title	Reportar un problema	Reportar um problema
ui.bug.modal_sub	Cuéntame brevemente qué viste. Va directo a mí — gracias por ayudarme a afinar la plataforma.	Me conte brevemente o que você viu. Vai direto para mim — obrigado por me ajudar a aprimorar a plataforma.
ui.bug.field_title_label	Título	Título
ui.bug.field_title_placeholder	ej. El botón no responde	ex.: O botão não responde
ui.bug.field_desc_label	Descripción	Descrição
ui.bug.field_desc_placeholder	¿Qué esperabas? ¿Qué pasó en vez?	O que você esperava? O que aconteceu em vez disso?
ui.bug.btn_cancel	Cancelar	Cancelar
ui.bug.btn_send	Enviar	Enviar
ui.bug.btn_sending	Enviando…	Enviando…
ui.bug.status_ok	✓ Reporte enviado. Gracias.	✓ Reporte enviado. Obrigado.
ui.bug.status_err	No se pudo enviar. Intenta de nuevo.	Não foi possível enviar. Tente novamente.
ui.bug.btn_send_reset	Enviar	Enviar
ui.toast.window_error	Ocurrió un problema técnico. Ya recibimos el reporte.	Ocorreu um problema técnico. Já recebemos o relatório.
ui.toast.unhandled_rejection	Algo no salió bien. Vuelve a intentarlo en unos segundos.	Algo não saiu como esperado. Tente novamente em alguns segundos.
ui.toast.share_ok	Enlace copiado al portapapeles.	Link copiado para a área de transferência.
ui.toast.share_err	No se pudo copiar. Copia manualmente: {url}	Não foi possível copiar. Copie manualmente: {url}
